State,Year,value,indicator,unit,higher_is_better,part_of_sti
Johor,2023,3.84812,Visitors per Resident,ratio,,False
Johor,2024,2.55,Avg Length of Stay (nights),nights,True,True
Johor,2024,79.310345,Coastal Good+Excellent (%),%,True,True
Johor,2024,71.5,Labour Force Participation Rate (%),%,True,True
Johor,2024,40.370615,Non-Domestic Water Share (%),%,False,True
Johor,2024,1867.412293,Tourism Receipts per Resident (RM),RM,True,True
Johor,2024,2.3,Unemployment Rate (%),%,False,True
Johor,2024,0.0,Coastal Poor (%),%,,False
Johor,2024,,Mangrove Area (ha),ha,,False
Johor,2024,3169.1,Municipal Waste Facility Tonnes/Day,tonnes/day,,False
Johor,2024,4.095689,Visitors per Resident,ratio,,False
Johor,2025,2.68,Avg Length of Stay (nights),nights,True,True
Johor,2025,,Coastal Good+Excellent (%),%,True,True
Johor,2025,71.775,Labour Force Participation Rate (%),%,True,True
Johor,2025,,Non-Domestic Water Share (%),%,False,True
Johor,2025,2074.879285,Tourism Receipts per Resident (RM),RM,True,True
Johor,2025,2.3,Unemployment Rate (%),%,False,True
Johor,2025,,Coastal Poor (%),%,,False
Johor,2025,,Mangrove Area (ha),ha,,False
Johor,2025,,Municipal Waste Facility Tonnes/Day,tonnes/day,,False
Johor,2025,4.328394,Visitors per Resident,ratio,,False
Kedah,2015,,Avg Length of Stay (nights),nights,True,True
Kedah,2015,12.5,Coastal Good+Excellent (%),%,True,True
Kedah,2015,64.6,Labour Force Participation Rate (%),%,True,True
Kedah,2015,27.207977,Non-Domestic Water Share (%),%,False,True
Kedah,2015,,Tourism Receipts per Resident (RM),RM,True,True
Kedah,2015,2.6,Unemployment Rate (%),%,False,True
Kedah,2015,0.0,Coastal Poor (%),%,,False
Kedah,2015,6201.0,Mangrove Area (ha),ha,,False
Kedah,2015,,Municipal Waste Facility Tonnes/Day,tonnes/day,,False
Kedah,2015,5.926544,Visitors per Resident,ratio,,False
Kedah,2016,,Avg Length of Stay (nights),nights,True,True
Kedah,2016,0.0,Coastal Good+Excellent (%),%,True,True
Kedah,2016,64.2,Labour Force Participation Rate (%),%,True,True
Kedah,2016,27.586207,Non-Domestic Water Share (%),%,False,True
Kedah,2016,,Tourism Receipts per Resident (RM),RM,True,True
Kedah,2016,2.9,Unemployment Rate (%),%,False,True
Kedah,2016,0.0,Coastal Poor (%),%,,False
Kedah,2016,6201.0,Mangrove Area (ha),ha,,False
Kedah,2016,,Municipal Waste Facility Tonnes/Day,tonnes/day,,False
Kedah,2016,6.221635,Visitors per Resident,ratio,,False
Kedah,2017,2.13,Avg Length of Stay (nights),nights,True,True
